row_id	orders	rider	cost
1336162	630	33	0.70200000000000173
1336471	705	1769	3.3859203106332161
1341178	303	439	8.4879999999999995
1342768	565	3493	17.904
1348019	358	2706	4.1400000000000006
1348754	474	2418	3.468177777777778
1349111	961,1067,1133	142	6.4880000000000013
1351656	1017	928	3.3580111111111113
1351854	1065	1252	0.1460000000000008
1353136	70	926	0.081344444444446218
1354529	314,685	3061	7.9877399210806121
1356294	617	44	2.7799999999999998
1361728	23,977,1110	1770	19.331077777777779
1362744	256,285,502,843	450	11.714
1366211	96	887	0.15000000000000036
1368366	537	3067	19.674000000000003
1369488	770	1800	3.4540697580645139
1369806	830	159	12.662000000000001
1371990	1187	3141	3.1456000000000008
1374851	140,347	1409	3.546044444444445
1380267	157	980	15.994
1381885	484	1747	1.3539999999999992
1390194	802	257	2.265344444444445
1396420	753	1988	1.0327724137931036
1396822	844	428	0.76849999999999996
1398510	739,795	2042	0.52601111111111087
1399362	166	418	2.7420000000000009
1399692	236	322	0.73600000000000065
1400004	289	1113	20.158000000000001
1402681	103,171,326,396	1479	13.912000000000001
1403132	845	219	2.3420000000000005
1408671	605	1393	5.7602444444444441
1409389	734	2090	4.9619999999999997
1418012	1093	2193	6.2824
1426356	196	606	19.170000000000002
1431978	80	1694	14.401999999999999
1435171	246,336,629,1131	694	13.448545036085655
1437465	1160	3356	5.7940000000000005
1440284	33,780,1034	1489	23.876000000000005
1441303	556	1444	0.24199999999999999
1441814	654	636	14.114000000000003
1442252	746	2044	4.0360000000000005
1443576	224,515	3036	3.2668999999999997
1445858	155	370	4.556
1446297	262	2413	0.032000000000000028
1447327	465	2673	0.90800000000000036
1447841	554	1820	17.356000000000002
1448561	311,359	369	15.582000000000001
1449695	917	2654	3.892444444444445
1452879	252	1218	12.524000000000001
1459065	46,889,960	3378	11.982000000000001
1469138	807	1725	19.629999999999999
1470290	1014	676	11.951344444444445
1474083	623,976,1028	1979	29.323877777777781
1474452	611	3071	4.4980000000000011
1479643	371	1333	0.0020000000000006679
1483577	1092	94	1.1535111111111107
1485843	239	491	1.1808444444444437
1488291	577,682,839,1079	57	11.606946835443038
1500031	454	904	0.68400000000000016
1500076	461	688	1.8460000000000001
1500396	532	3153	0.84399999999999986
1503281	658,723	2006	14.584000000000001
1505908	331	1826	15.42
1506066	353	614	1.016
1508378	771	1322	15.375999999999999
1510818	71	2550	0.63600000000000101
1513480	277,955	400	3.3241444444444435
1515483	873	661	3.0920000000000005
1515753	912	2900	0.025999999999999801
1522154	1199,1207	804	5.9540000000000006
1524201	52	1230	23.532044444444384
1524348	84	585	6.1434736017082825
1530131	116,692	3421	4.4236666666666666
1530689	88	1877	15.038
1531193	160	3348	0.2719999999999998
1541021	819	1202	5.2980000000000018
1541510	141,710	467	9.7000000000000011
1542919	1186	2321	4.2560000000000002
1543478	94	3218	0.20667777777777574
1547813	635,898,988	755	8.5199666666666669
1548871	631,659	1220	5.2960000000000003
1553152	600	1337	1.8060000000000009
1555258	1018	2482	1.1499999999999995
1568397	408,444	3481	18.584
1568775	57,1126	2464	11.964
1570425	131	297	1.9120000000000008
1576079	711,921	1464	1.862677777777779
1581309	933	460	0.71200000000000063
1583126	59	3336	3.5021777777777774
1583876	182	838	0.49799999999999933
